,Year,COMMUNITY,count
531,2018,EAST GARFIELD PARK,4873
532,2021,WEST ENGLEWOOD,4869
533,2003,BRIGHTON PARK,4860
534,2015,NEW CITY,4835
535,2020,CHICAGO LAWN,4834
536,2008,IRVING PARK,4830
537,2019,LOGAN SQUARE,4812
538,2018,LOGAN SQUARE,4803
539,2004,AVONDALE,4803
540,2003,AVONDALE,4777
541,2016,SOUTH CHICAGO,4769
542,2011,UPTOWN,4763
543,2015,BELMONT CRAGIN,4761
544,2022,CHICAGO LAWN,4756
545,2003,EDGEWATER,4754
546,2016,BELMONT CRAGIN,4747
547,2014,SOUTH LAWNDALE,4742
548,2004,LOWER WEST SIDE,4732
549,2013,WOODLAWN,4731
550,2011,GRAND BOULEVARD,4729
551,2015,LOGAN SQUARE,4712
552,2017,EAST GARFIELD PARK,4705
553,2004,BRIGHTON PARK,4701
554,2006,EDGEWATER,4694
555,2007,IRVING PARK,4693
556,2022,WEST ENGLEWOOD,4681
557,2010,GRAND BOULEVARD,4674
558,2016,SOUTH LAWNDALE,4673
559,2022,ENGLEWOOD,4661
560,2021,ENGLEWOOD,4650
561,2019,EAST GARFIELD PARK,4644
562,2009,WASHINGTON HEIGHTS,4639
563,2010,PORTAGE PARK,4637
564,2005,NEAR SOUTH SIDE,4612
565,2006,BRIGHTON PARK,4612
566,2009,IRVING PARK,4612
567,2017,NEW CITY,4605
568,2021,CHICAGO LAWN,4548
569,2002,PORTAGE PARK,4547
570,2021,LAKE VIEW,4544
571,2010,WASHINGTON HEIGHTS,4544
572,2017,BELMONT CRAGIN,4537
573,2017,SOUTH CHICAGO,4524
574,2010,IRVING PARK,4523
575,2004,GARFIELD RIDGE,4505
576,2018,SOUTH LAWNDALE,4504
577,2017,SOUTH LAWNDALE,4490
578,2007,WASHINGTON PARK,4474
579,2013,LINCOLN PARK,4471
580,2003,GARFIELD RIDGE,4441
581,2019,SOUTH LAWNDALE,4423
582,2013,ROGERS PARK,4421
583,2011,WEST RIDGE,4414
584,2006,NEAR SOUTH SIDE,4413
585,2003,ALBANY PARK,4399
586,2005,BRIGHTON PARK,4395
587,2015,SOUTH LAWNDALE,4388
588,2011,PORTAGE PARK,4381
589,2017,LINCOLN PARK,4373
590,2014,WEST PULLMAN,4350
591,2004,NEAR SOUTH SIDE,4344
592,2019,BELMONT CRAGIN,4338
593,2022,SOUTH CHICAGO,4323
594,2018,BELMONT CRAGIN,4322
595,2005,AVONDALE,4319
596,2006,LOWER WEST SIDE,4310
597,2011,IRVING PARK,4297
598,2005,GAGE PARK,4292
